comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Theft,1554 E. 55th St. (Walgreens),6/4/25 10:10 AM,,2025-06-04 10:21:00-05:00,2025-06-04,Summer,2025-024237,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456]
Window smashed in vehicle parked on the street off-campus / Referred to CPD,Referred,Criminal Damage to Vehicle,5000 S. Dorchester Ave. (Public Way),6/3/25 to 6/4/25 10:00 PM to 7:00 AM,,2025-06-04 07:11:00-05:00,2025-06-04,Summer,2025-024204,"5000 S Dorchester Ave, Chicago, Il, 60615",[ 41.80417801 -87.59195798]
"An unattended, unsecured fleece jacket was taken from coat rack in laboratory",Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),6/3/25 4:00 AM to 11:30 AM,,2025-06-04 03:10:00-05:00,2025-06-04,Summer,25-00667,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
Subject battered girlfriend and was arrested by UCPD officers,Arrest,Domestic Battery,5730 S. Drexel Ave. (Comer Hospital),6/4/25 1:15 AM,,2025-06-04 01:15:00-05:00,2025-06-04,Summer,25-00666,"5730 S Drexel Ave, Chicago, Il, 60637",[ 41.79123843 -87.60381506]
A person was transported to UCMED by UCPD officers for evaluation,Closed,Medical Transport,6113 S. Ellis Ave. (Public Way),6/3/25 8:32 PM,,2025-06-03 20:34:00-05:00,2025-06-03,Summer,25-00665,"6113 S Ellis Ave, Chicago, Il, 60637",[ 41.78384514 -87.6010644 ]
Tree branch fell on a UC owned vehicle causing minor damage,Closed,Non-Criminal Damage to Vehicle,5641 S. University Ave. (Public Way),6/3/25 7:10 PM,,2025-06-03 19:11:00-05:00,2025-06-03,Summer,25-00664,"5641 S University Ave, Chicago, Il, 60637",[ 41.79249565 -87.59802378]
A person reported a possible deceptive practice scheme that occurred off-campus / Referred to CPD,Referred,Information / Deceptive Practice,850 E. 61st St. (UCPD HQ),5/31/25 time unknown,,2025-06-03 16:06:00-05:00,2025-06-03,Summer,2025-024104,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A Lexus key fob found on UC Shuttle Bus was turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),6/3/25 10:08 AM,,2025-06-03 10:23:00-05:00,2025-06-03,Summer,25-00661,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A person was transported to UCMED for evaluation,Closed,Medical Transport,5100 S. Lake Park Ave. (Public Way),6/2/25 11:29 PM,,2025-06-02 23:29:00-05:00,2025-06-02,Summer,25-00660,"5100 S Lake Park Ave, Chicago, Il, 60615",[ 41.80240432 -87.58791872]
A vehicle parked at the curb was struck by a bus that did not stop,Open,Traffic Crash / Property Damage / Hit and Run,5660 S. University Ave. (Public Way),6/2/25 7:47 PM,,2025-06-02 19:47:00-05:00,2025-06-02,Summer,25-00659,"5660 S University Ave, Chicago, Il, 60637",[ 41.79214591 -87.5981689 ]
"An unauthorized, disorderly subject was advised by UCPD officer not to return to the building or he would be arrested for trespass",Closed,Trespass Warning,915 E. 60th St. (Logan Center),6/2/25 9:00 AM to 3:00 PM,,2025-06-02 15:11:00-05:00,2025-06-02,Summer,25-00658,"915 E 60th St, Chicago, Il, 60637",[ 41.78583956 -87.60381135]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),6/1/25 5:43 PM,,2025-06-01 17:43:00-05:00,2025-06-01,Summer,2025-023781,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456]
"Traffic Crash, actions of aggressive motorist documented",Closed,Information,5758 S. Maryland Ave. (Public Way),6/1/25 4:15 PM,,2025-06-01 16:15:00-05:00,2025-06-01,Summer,25-00656,"5758 S Maryland Ave, Chicago, Il, 60637",[ 41.79005688 -87.60501186]
UCPD officer recovered an unoccupied vehicle that had been reported stolen to CPD,Closed,Recovered Vehicle,6100 S. Cottage Grove Ave. (Public Way),5/31/25 10:30 PM,,2025-05-31 22:31:00-05:00,2025-05-31,Winter,25-00655,"6100 S Cottage Grove Ave, Chicago, Il, 60637",[ 41.78399994 -87.60608335]
A UCM staff member found narcotics in the possession of a patient / Contraband turned over to UCPD for proper disposal,Closed,Found Narcotic,5700 S. Maryland Ave. (CCD),5/31/25 5:02 AM,,2025-05-31 05:05:00-05:00,2025-05-31,Winter,25-00654,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
A UCPD officer arrested a motorist for DUI,Arrest,DUI,Midway Plaisance at S. Stony Island Ave.,5/31/25 4:22 AM,,2025-05-31 04:22:00-05:00,2025-05-31,Winter,25-00653,"And South Stony Island Avenue, Chicago, Il 60637",[ 41.7876468 -87.5866779]
During a disagreement one person spit on another / Subject was arrested by UCPD,Arrest,Battery,5721 S. Maryland Ave. (Public Way),5/31/25 1:50 AM,,2025-05-31 02:02:00-05:00,2025-05-31,Winter,25-00652,"5721 S Maryland Ave, Chicago, Il, 60637",[ 41.79028249 -87.60486169]
A person was transported to UCMED by CFD EMS for evaluation,Closed,Medical Transport,1380 E. Hyde Park Blvd.,5/31/25 12:45 AM,,2025-05-31 00:45:00-05:00,2025-05-31,Winter,25-00651,"1380 E Hyde Park Blvd, Chicago, Il, 60615",[ 41.80247403 -87.59232977]
A delivery driver reported vehicle stolen / Later found he parked it at another location,Unfounded,Motor Vehicle Theft,6000 S. Woodlawn Ave. (Public Way),5/30/25 11:06 PM,,2025-05-30 23:08:00-05:00,2025-05-30,Spring,25-00649,"6000 S Woodlawn Ave, Chicago, Il, 60637",[ 41.78507888 -87.59638688]
